A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS00385	2172	2743	2001	2757	2466	2513	3723	3455	2322	3181	2946	3197
HP_RS00390	6299	6153	5089	5848	9035	9080	18211	17475	8025	18100	12380	11498
HP_RS00395	799	1272	896	11778	10481	10373	2081	1099	1340	1266	1777	1464
HP_RS00400	122	156	152	51	97	98	490	229	402	220	466	232
HP_RS00405	196	170	192	150	107	108	704	352	534	303	682	351
HP_RS00410	966	1102	878	752	829	990	1743	1743	1127	1497	1408	1458
HP_RS00415	9616	12575	8808	9931	9810	10248	14361	12866	9609	12013	12275	12302
HP_RS00420	2294	2785	2547	16819	10463	11827	4418	3971	3232	3856	4209	3922
HP_RS00425	2847	3857	3017	16451	13388	15183	5929	4949	4056	5053	5532	4787
HP_RS00430	1973	2586	1653	2092	1741	1789	3392	3023	2308	2707	2786	2859
HP_RS00435	10575	14659	9620	10084	8822	9403	16096	14395	10932	13631	13751	14173
HP_RS00440	11951	16567	10582	9421	7944	8419	15739	14855	10300	14168	13016	14991
HP_RS00445	28799	36643	27233	16695	14191	15426	26175	27381	17625	26299	23227	26761
HP_RS00450	611	707	694	1643	1521	1602	876	802	539	800	795	757
HP_RS00455	12246	15891	14966	15715	7615	8059	6951	5375	4509	3578	5873	4077
HP_RS00460	12319	11134	9577	9716	14561	14476	15605	17077	5778	19961	11066	5913
HP_RS00465	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS00470	804	1108	695	3079	2192	2241	1354	1136	843	1131	1007	1103
HP_RS00475	196	265	149	831	801	795	672	448	419	509	461	544
HP_RS00480	417	507	381	971	973	954	1121	869	719	831	963	879
HP_RS00485	350	457	322	385	433	427	555	471	329	452	424	419
HP_RS00490	3485	4242	3055	5168	4447	4481	3454	3137	2162	2795	3009	2510
HP_RS00495	9019	11335	8535	13304	13987	13825	17871	18939	12084	18359	16372	18335
HP_RS00500	1841	2426	1677	1656	1693	1679	3016	2316	1993	2151	2386	2271
HP_RS00505	11255	15347	11165	9361	7412	8110	15224	14505	9825	12734	12239	12858
HP_RS00510	3996	5958	3867	5212	3125	3228	6812	6100	4067	5150	5072	5198
HP_RS00515	243	294	162	956	1343	1436	737	516	388	515	466	460
HP_RS00520	276	410	280	1479	1856	1942	1006	656	554	546	675	549
HP_RS00525	2669	4924	2538	7158	9510	11243	8358	7619	4044	7124	6702	4617
HP_RS00530	950	1521	949	956	1405	1479	1746	1410	1054	1339	1377	1251
HP_RS00535	4079	4018	4240	2788	2298	2376	6708	5918	4727	5441	5961	5516
HP_RS00540	1259	1688	1312	1068	745	883	3706	2462	2459	2431	3330	2254
HP_RS00545	364	489	358	357	237	336	930	866	610	787	840	764
HP_RS00550	4714	6155	4605	2851	2285	2368	3856	3675	2430	3265	3365	3210
HP_RS00555	5685	20030	4819	504	455	738	3107	2000	1851	1756	2693	1718
HP_RS00560	4459	8589	4431	620	307	496	3472	2606	1990	2198	2885	2308
HP_RS00565	10319	22285	10164	1983	816	999	6574	5455	4111	4052	5620	4333
HP_RS00570	1540	1701	1387	2336	2364	2207	3167	2637	1969	2421	2485	2570
HP_RS00575	2097	2606	1859	2958	3165	3321	3628	3194	2237	3084	2802	3155
HP_RS00580	2703	5260	2360	10965	9613	12762	6655	7103	4288	6663	5358	6744
HP_RS00585	3674	6123	3561	9360	7656	11300	9438	11374	6182	10573	8600	10287
HP_RS00590	2452	3025	2248	1697	1533	1539	4136	3817	2703	3856	3465	3918
HP_RS00595	1123	1465	976	1036	991	1073	1844	1661	1269	1682	1546	1622
HP_RS00600	2266	2932	2013	809	1700	1607	4070	2608	3015	2460	3436	2518
HP_RS00605	78	106	74	70	68	73	108	70	37	115	87	55
HP_RS00610	2483	2817	2307	494	2176	2232	3502	3038	2128	2933	2703	2733
HP_RS00615	4965	9347	4796	3232	2607	3495	4961	5403	3200	5107	4396	5026
HP_RS00620	5460	6470	5356	12476	11182	10980	14480	9766	8747	9570	11210	9371
HP_RS00625	5285	5782	5201	6736	9828	9524	11580	9030	8493	8440	10089	9958
HP_RS00630	5331	5794	5693	5140	9369	9176	10536	9055	8139	8204	9368	9605
HP_RS00635	10213	11702	10866	22716	19014	18892	19855	17626	14196	16023	17454	17097
HP_RS00640	26677	32619	25764	42930	37247	37877	41907	40109	28536	37104	35907	38897
HP_RS00645	9232	11471	9382	5057	4875	5029	11869	11146	7283	10023	9991	9576
HP_RS00650	18188	18474	17200	26077	26972	27087	26544	25552	16672	25160	21428	24514
HP_RS00655	966	1396	923	1022	720	840	517	412	312	383	469	376
HP_RS00660	1138	1702	1146	1149	937	992	671	597	438	591	638	511
HP_RS00665	3449	3997	3644	4880	2580	2578	4942	4638	3147	4387	4165	4474
HP_RS00670	5757	8070	5037	4716	4318	4683	6245	5914	4169	5832	5482	5571
HP_RS00675	8632	10737	8065	6918	4902	5388	8094	8129	5580	7963	7597	8101
HP_RS00680	11034	14893	10300	8374	6341	7028	11036	11405	7699	10919	10077	11178
HP_RS00685	2907	3783	3120	2901	2247	2370	4233	4378	2821	4089	3497	4236
