A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS01610	208	334	213	411	683	669	793	550	496	483	542	508
HP_RS01615	172	314	167	912	1105	1146	610	384	327	353	444	380
HP_RS01620	369	419	279	1169	1552	1697	821	592	456	537	579	569
HP_RS01625	131	192	143	206	572	538	273	245	138	228	192	211
HP_RS01630	1466	2445	1475	2111	2349	2652	2086	1975	1056	1651	1600	1444
HP_RS01635	1669	1947	1691	2273	2098	2374	2121	1935	1419	1984	1927	1974
HP_RS01640	882	1124	843	1241	1197	1292	1233	1016	760	1053	1069	1089
HP_RS01645	973	1338	959	2080	1962	1983	1706	1339	1016	1416	1372	1452
HP_RS01650	264	318	274	933	769	738	695	595	422	588	542	526
HP_RS01655	893	2062	879	574	1280	1440	1899	1621	1005	1788	1349	1548
HP_RS01660	717	1157	678	1443	1427	1625	973	736	600	704	774	716
HP_RS01665	400	639	391	1114	629	738	515	375	294	310	398	332
HP_RS01670	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01675	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01680	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01685	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01690	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01695	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01700	702	928	483	1864	1560	1617	1271	967	748	998	971	976
HP_RS01705	3996	5266	3577	5697	3998	4242	5444	4757	3507	4643	4689	4715
HP_RS01710	6119	7278	6033	5263	4748	5030	6946	6504	4611	6578	6085	6681
HP_RS01715	8724	12958	9878	4429	6716	6808	11189	9808	7510	8998	9913	9208
HP_RS01720	5626	6214	4885	6743	5273	5635	8165	6391	5218	6220	6824	6559
HP_RS01725	2960	3778	2355	3527	3242	3453	4551	4065	3065	3877	3913	4118
HP_RS01730	1152	1601	1038	2376	1941	1978	2566	2237	1596	2170	1921	2311
HP_RS01735	2955	3760	2847	5556	3776	3895	6018	4972	3841	4573	4988	4721
HP_RS01740	3742	4713	3569	6127	4036	3938	6714	5719	4107	5197	5617	5367
HP_RS01745	496	760	478	1485	1117	1019	1218	1020	758	880	983	893
HP_RS01750	277	498	189	472	462	507	569	472	321	453	412	411
HP_RS01755	1179	1423	1006	728	1042	1135	1299	1450	863	1429	1170	1460
HP_RS01760	38	71	60	636	989	953	279	187	125	154	160	136
HP_RS01765	23	40	22	198	362	347	182	63	49	68	86	41
HP_RS01770	3496	4264	3440	2566	2782	2960	3434	3545	2524	3090	2935	3160
HP_RS01775	1029	1318	992	1302	1511	1460	1424	1314	1008	1115	1146	1184
HP_RS01780	1183	1614	937	2043	1894	1893	2024	1919	1311	1776	1607	1770
HP_RS01785	2117	2537	1983	3051	2077	2116	2601	2336	1651	2314	2119	2299
HP_RS01790	3838	4007	3624	3527	3143	3166	4261	4129	2652	3828	3433	3721
HP_RS01795	166	210	108	588	1163	1185	659	535	327	450	485	408
HP_RS01800	3009	4203	2507	9690	8015	8733	6324	6502	4031	6230	5400	6310
HP_RS01805	8566	10782	7478	14718	11412	13071	11415	14000	7839	13057	9451	13052
HP_RS01810	168	193	155	408	977	977	409	270	220	286	228	279
HP_RS01815	1289	1832	1171	2389	3551	3804	2377	1727	1494	1612	1716	1687
HP_RS01820	7848	9890	7913	14105	8538	9075	13587	11821	8429	11049	11201	10571
HP_RS01825	4220	5089	4050	7595	5791	6363	8775	8125	5364	7736	6638	7533
HP_RS01830	1599	1984	1375	1895	2004	2012	2957	2470	1783	2476	2296	2470
HP_RS01835	4079	4994	3797	1372	1955	1858	3352	1869	2001	1766	2710	1758
HP_RS01840	1032	1271	899	2817	1911	1964	1898	1873	1003	1758	1448	1927
HP_RS01845	779	1059	596	2100	1399	1552	1507	1765	764	1801	1072	1716
HP_RS01850	171	226	158	828	1297	1214	1704	742	956	731	1150	740
HP_RS01855	13654	20030	12874	9604	12067	13489	21899	26869	15498	27253	19854	28209
HP_RS01860	11818	17128	10433	14874	15785	17479	26061	26080	16717	25954	21565	27223
HP_RS01865	1864	2664	1608	2116	2824	2887	4816	3932	2886	3876	3921	4088
HP_RS01870	1042	1405	1052	863	997	1141	2368	1889	1336	1774	1807	1526
HP_RS01875	6692	8447	6142	4537	3506	3700	9073	8258	6084	7626	7815	7821
HP_RS01880	18190	22229	16975	9134	7508	8154	23617	25247	15542	24491	20902	23622
HP_RS01885	293	472	228	360	534	505	515	382	318	362	390	339
HP_RS01890	186	249	129	128	246	263	274	263	161	234	209	247
HP_RS01895	2560	3007	2357	757	1982	1912	2827	3031	1955	2736	2308	2661
HP_RS01900	3250	4054	3023	1028	2675	2708	3813	3676	2456	3333	3157	3352
HP_RS01905	2611	3202	2444	2246	2449	2484	3827	2562	2436	2515	3135	2524
HP_RS01910	9353	12315	8811	3852	3013	2924	10257	5889	7758	5988	9433	6563
HP_RS01915	42484	53575	40447	7595	6918	6483	37546	24246	27291	23557	34528	23480
HP_RS01920	29622	36227	31558	27327	16482	18625	42923	42254	29709	36651	38200	38687
HP_RS01925	6710	8495	6237	5299	6028	6448	7102	7500	5140	7591	6220	7610
HP_RS01930	19232	21828	18021	15551	12718	13111	22118	21792	15805	21262	20226	22115
HP_RS01935	2803	3083	2527	4168	4075	3897	3679	3905	2213	3859	2954	3889
HP_RS01940	722	866	571	2111	2095	2016	1747	1581	1039	1501	1260	1494
HP_RS01945	959	1347	725	3428	3122	3199	2249	2003	1504	2067	1744	2127
HP_RS01950	5290	7012	4488	10047	9365	9307	9920	8952	6307	8844	8225	9057
HP_RS01955	5463	6488	5121	11340	7992	7916	9450	8788	5902	8648	7760	8607
HP_RS01960	2897	4398	2733	8364	6328	6363	4374	4121	2926	3903	3804	3883
HP_RS01965	20235	24871	19092	44654	37204	38432	24563	24077	16573	24205	21721	24646
HP_RS01970	3551	4679	3072	4440	4020	4186	5544	5136	3839	4713	4814	4939
HP_RS01975	3119	4483	2592	5418	4142	4624	6878	6039	4418	5784	5817	6135
HP_RS01980	8505	10924	7363	11355	8079	9042	14725	13126	9525	13006	12656	13500
HP_RS01985	3999	4557	3700	5193	4136	4223	7487	6701	5177	6483	6320	7213
HP_RS01990	1651	1532	1783	1433	1673	1535	2015	2095	1328	1820	1690	1672
HP_RS01995	2635	2736	2808	3659	3175	2839	3473	3348	2287	2931	2977	2938
HP_RS02000	1300	1738	1192	2139	2069	2243	1943	1714	1291	1530	1554	1666
HP_RS02005	4425	7644	4326	2844	2179	2499	4798	4467	2757	4157	3587	3868
HP_RS02010	1148	1704	1328	731	998	1022	2308	2054	1444	2034	2041	1922
HP_RS02015	2370	3574	2659	2995	2260	2552	6128	5215	3650	4926	5325	4950
HP_RS02020	7913	13446	7854	7497	7982	8833	15719	16653	9710	16609	13587	15129
HP_RS02025	299	395	300	1159	1962	1951	2037	1392	994	1436	1010	1178
HP_RS02030	463	469	411	1583	2987	3036	2594	1555	1297	1800	1316	1382
HP_RS02035	361	359	350	1476	3112	3200	1903	1211	1033	1308	961	1117
HP_RS02040	293	326	309	2007	3692	3819	1705	990	956	963	995	978
HP_RS02045	948	1794	668	548	673	808	851	637	640	642	908	662
HP_RS02050	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02055	3605	4799	3582	5776	5269	5598	5966	5471	3771	4844	4629	4978
HP_RS02060	5596	7446	5129	7039	6009	6577	9021	8133	6275	7788	8395	8419
HP_RS02065	7912	10713	7514	11414	7780	8284	11934	11125	7506	10374	9137	10212
HP_RS02070	1787	2687	1655	3379	2454	2637	3314	2841	2056	2661	2525	2733
HP_RS02075	793	998	683	1491	1327	1336	1751	1357	1020	1303	1425	1262
HP_RS02080	610	838	618	1187	1083	1057	1150	1013	715	824	1046	842
HP_RS02085	1328	1983	1238	2302	2681	2775	2493	1970	1498	1694	1945	1975
HP_RS02090	3040	3849	2990	4954	4268	4142	4566	3566	2956	3467	3730	3687
HP_RS02095	623	695	655	476	881	828	1311	1004	866	1053	1192	994
HP_RS02100	4123	6084	3521	1899	1682	1820	5499	4429	4026	4660	5290	4915
HP_RS02105	5959	9268	4812	1847	1885	2052	6997	6385	5432	6195	6508	6898
HP_RS02110	8481	13224	7166	2080	2149	2282	9837	9371	7493	9379	9646	9968
HP_RS02115	316	336	258	76	262	253	893	1088	548	1077	578	1001
HP_RS02120	8535	22285	4784	17317	3673	5800	8245	4686	8312	6026	7817	3807
HP_RS02125	118	172	115	625	1203	1067	674	582	245	602	439	268
HP_RS02130	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02135	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02140	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02145	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02150	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02160	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02165	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02175	292	399	272	168	451	452	439	291	189	260	245	241
HP_RS02180	141	209	115	111	215	231	243	153	108	166	137	128
HP_RS02185	67	98	49	36	77	79	98	73	56	61	44	44
HP_RS02190	47	70	34	25	37	34	56	33	39	40	44	44
HP_RS02195	94	175	97	118	284	259	163	123	87	121	135	95
HP_RS02200	26	47	22	16	49	47	40	38	13	24	30	25
HP_RS02205	142	160	112	150	825	746	500	248	199	199	249	166
HP_RS02210	2	1	1	0	5	1	1	1	0	0	3	0
HP_RS02220	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02225	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02230	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02235	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02240	0	1	2	0	3	1	0	3	2	2	1	0
HP_RS02245	7	5	8	4	39	23	20	15	12	13	21	6
HP_RS02250	3	3	1	2	5	6	7	2	1	4	5	1
HP_RS02255	0	1	1	1	1	2	0	1	0	2	5	2
HP_RS02260	2	4	1	3	7	3	6	3	1	1	9	4
HP_RS02265	2	5	0	3	8	5	11	6	2	3	8	5
HP_RS02270	41	45	28	29	50	60	38	39	34	38	29	42
HP_RS02275	126	189	91	70	187	180	186	154	98	131	104	118
HP_RS02285	74	90	79	92	130	162	128	80	56	62	73	77
HP_RS02290	52	57	41	78	77	86	76	62	45	66	65	59
HP_RS02295	780	942	579	502	1534	1491	1630	1386	945	1479	1330	1358
HP_RS02300	706	909	614	758	1128	1253	1510	1077	866	1066	1156	1143
HP_RS02305	3318	4499	2981	2573	3544	3783	5003	4266	3333	4169	4424	4423
HP_RS02310	2399	3077	2146	1810	2401	2507	3528	3033	2469	2995	2916	3073
HP_RS02315	11540	16843	10063	7480	7375	8135	12041	11480	8534	11318	10878	12046
HP_RS02320	6428	9077	5906	7039	3418	3811	6077	6169	4251	5877	5736	6254
HP_RS02325	18854	28089	16792	11339	9208	10403	17113	17433	12305	17137	16305	18043
HP_RS02330	356	533	351	405	717	776	777	468	464	420	541	411
HP_RS02335	43519	50929	41787	28880	25617	28081	56566	78636	38748	73091	51044	69636
HP_RS02340	508	806	391	602	862	877	1386	1253	840	1131	989	1179
HP_RS02345	231	394	227	372	474	483	711	608	454	597	566	596
HP_RS02350	265	457	293	949	778	865	702	644	430	680	629	612
HP_RS02355	4191	5619	3793	3308	2882	3101	4700	4776	3077	4786	4125	4630
HP_RS02360	600	797	528	542	721	817	1229	1185	653	1145	923	1018
HP_RS02365	288	463	222	421	553	626	586	624	297	590	424	580
HP_RS02370	78	161	83	124	210	201	182	231	98	214	146	220
HP_RS02375	9338	11362	10057	8269	5365	6325	12946	11337	8298	11175	11710	11337
HP_RS02380	1542	2548	1673	859	1098	1341	2901	2307	1661	2089	2437	2121
HP_RS02385	170	307	159	50	138	138	283	271	182	251	240	241
HP_RS02390	101	220	83	248	354	362	190	128	115	129	131	131
HP_RS02395	56	83	53	239	400	364	122	75	68	81	86	85
HP_RS02400	7381	8110	7027	5550	4555	4907	5606	6597	3819	6429	5448	6692
HP_RS02405	33079	38344	30056	37756	31105	34480	57866	56527	41097	58381	52930	57514
HP_RS02410	7557	10387	7023	10810	11224	12003	16894	15001	11563	14572	14792	14414
HP_RS07940	21	33	11	80	148	139	48	21	13	22	33	18
HP_RS02415	51	89	46	127	192	202	136	75	47	67	85	60
HP_RS02420	5	9	5	12	15	16	3	5	14	12	5	6
HP_RS02425	3776	6381	3741	9989	8725	9625	5543	4167	4169	4200	5366	4627
HP_RS02430	2799	3916	2754	5188	4622	5082	4535	3919	2639	4101	3612	2851
HP_RS02435	6216	8318	6191	5398	7895	8254	8210	7170	5594	6685	7106	6800
HP_RS02440	651	853	537	1642	1376	1278	1509	1002	928	1068	1214	1166
HP_RS02445	860	1325	647	1459	1724	1800	1776	1312	1134	1299	1428	1358
HP_RS02450	611	785	469	971	1108	1222	974	807	661	782	695	801
HP_RS02455	615	648	477	926	1141	1180	1035	834	636	848	713	813
HP_RS02460	6226	8526	5994	6542	5814	6973	7134	6430	4505	6239	6107	6187
HP_RS02465	1847	2689	1702	3135	2745	3310	2924	2517	2074	2518	2539	2422
HP_RS02470	273	684	253	819	975	1308	711	519	402	542	552	558
HP_RS02475	11867	17600	10632	10879	9094	10391	11497	12106	7898	12151	10694	12801
HP_RS02480	16826	22825	15511	22128	16605	18097	21946	20349	14584	19592	19107	20581
HP_RS07915	1310	1704	1351	2649	1922	2042	2488	2169	1492	1774	1981	1796
HP_RS02485	285	430	306	860	1213	1256	991	645	432	633	692	563
HP_RS02490	176	256	165	363	889	886	703	504	302	547	435	423
HP_RS02495	1314	1692	1287	1855	2553	2593	2743	2435	1619	2335	2015	2326
HP_RS02500	1344	2033	1438	3619	2878	3034	2218	1895	1362	1659	1730	1769
HP_RS02505	2580	3539	2415	2938	3218	3224	3453	2985	2197	2933	2849	2673
HP_RS02510	1096	1923	1135	869	851	1105	1663	1333	1024	1282	1435	1224
HP_RS02515	572	981	706	723	729	891	1161	884	630	801	934	721
HP_RS02520	11	18	19	24	36	35	56	32	25	27	38	13
HP_RS02525	22588	24389	21611	22817	15191	16034	21431	21281	15921	21231	21356	22492
HP_RS02530	1054	1532	990	387	669	644	1341	1235	923	1106	1172	1066
HP_RS02535	1138	2099	1221	414	948	1156	1455	1348	765	1340	1176	1127
HP_RS02540	540	1406	560	653	746	1020	1238	1123	765	1176	1045	1148
HP_RS02545	4617	7547	4145	7375	6638	8194	7157	6271	4720	6619	6388	6631
HP_RS02550	1379	1826	1189	3776	4080	4455	3388	2757	2106	2832	2748	2981
HP_RS02555	1942	2543	1603	5877	4992	5094	4173	3735	2440	3573	3327	3479
HP_RS02560	576	1017	548	886	1313	1403	957	601	595	639	817	646
HP_RS02565	9155	14053	8600	5298	2634	3156	6125	6055	4115	5494	5252	5470
HP_RS07870	649	1007	507	466	1007	1116	1334	1332	897	1271	969	1476
HP_RS02570	6537	8137	5493	4058	5070	5368	9648	9332	6626	9169	8046	9367
HP_RS02575	722	938	609	425	662	651	1214	1066	742	1059	906	1157
HP_RS02580	3483	4616	3143	6323	5960	6021	6918	6211	4529	5883	5734	6132
HP_RS02585	3950	4848	3846	3532	3560	3704	5507	5241	3768	4886	5124	5404
HP_RS02590	3653	4524	3602	2483	3360	3120	4481	4526	3177	4143	3880	4371
HP_RS02595	6176	8498	5397	7142	8962	8893	13525	11487	8141	10941	9915	11449
HP_RS02600	1957	2127	1560	1528	3178	3179	4593	3837	2518	3650	2993	3688
HP_RS02605	1968	2534	1990	2441	3092	3420	5769	4984	3129	4660	3601	4620
HP_RS02610	5528	6984	5289	4420	5981	6235	8292	8262	5130	7589	6147	7704
HP_RS02615	3361	3888	3470	1752	2312	2502	4990	5611	3116	5358	4316	5228
HP_RS02620	7403	8428	8005	3096	3876	4330	7179	7677	4653	7076	6013	7189
HP_RS02625	2623	3560	2594	2555	2634	2779	2908	2632	1882	2516	2368	2354
HP_RS02630	8520	9897	8043	3779	6316	6982	9215	9646	5895	8835	7547	8378
HP_RS02635	3675	4793	3462	1570	12363	12093	6524	7713	3154	5882	4239	4797
HP_RS02640	6757	8549	5947	4836	5906	6481	10182	7957	6188	7468	6971	7797
HP_RS02645	1553	1894	1208	1493	2369	2541	3539	3374	2042	3124	2323	2901
HP_RS02650	884	1247	710	733	1120	1201	1606	1157	863	1136	1129	1243
HP_RS02655	5021	6906	4572	3396	2954	2982	5399	4206	3351	4019	4335	4287
HP_RS02660	15197	18961	14445	8980	7941	8057	11908	10552	8212	9986	10499	10791
HP_RS02665	10453	13039	9980	5833	5948	5732	6827	6725	5165	6152	6558	6943
HP_RS02670	7651	11164	7631	5451	7752	8003	7346	7304	5328	6579	6033	6873
HP_RS02675	13598	18877	12844	20699	19222	20431	18264	14980	12937	14207	16146	15378
HP_RS02680	24688	31415	24581	16635	17367	19574	22075	20143	16693	19218	20753	20778
HP_RS02685	19018	17205	19568	10297	10656	11593	17335	16998	13402	15608	16689	16834
HP_RS02690	385	423	372	2095	2602	2864	1616	6074	770	4811	859	4951
HP_RS02695	842635	1098483	668806	215756	149250	177887	467812	425402	362388	416100	486043	479015
HP_RS02700	9746	15441	7615	1989	2703	3266	5567	4723	4166	4685	5832	5250
HP_RS02705	3065	4764	2731	6297	6148	6149	3080	2124	2358	2285	3034	2351
HP_RS02710	8172	10344	7075	29354	19429	20029	8260	5275	6310	5660	8200	6443
HP_RS02715	6153	8433	5986	6027	5459	6278	7046	6055	4484	6381	6525	5564
HP_RS02720	9086	12382	9510	11480	9464	10949	10628	8395	7422	8333	10054	8609
HP_RS02725	1402	1366	1704	2838	2234	2352	3060	2201	1824	2194	2646	2112
HP_RS02730	1735	2611	1550	2673	2937	3424	2903	2486	1934	2382	2406	2483
HP_RS02735	899	1282	864	2376	2249	2512	1862	1544	1087	1413	1510	1437
HP_RS02740	68	106	32	141	384	420	132	102	66	86	85	86
HP_RS02745	5036	8189	5060	11694	8838	12380	10095	7774	6264	7725	8351	7964
HP_RS02750	12335	17951	13637	24956	13085	18361	16224	13791	10976	14137	14661	15078
HP_RS02755	9144	8889	10112	7788	8902	9769	10873	12488	7402	12423	10065	11828
HP_RS02760	9526	14327	10924	20731	17982	20526	20913	24017	15047	24155	19907	24684
HP_RS02765	4854	7672	5117	6291	7934	9018	9371	10675	6544	10243	8480	10216
HP_RS02770	2662	3226	2581	2028	2404	2565	5941	5465	3981	4961	4868	5031
HP_RS02775	4603	5842	4201	5107	7142	7101	6585	6902	3915	6632	5219	5463
HP_RS02780	17979	23433	17240	15545	12290	13445	19651	25812	13630	24123	17805	24468
HP_RS02785	1057	1337	1176	730	672	765	1096	1263	723	1298	1030	1207
HP_RS02790	191	184	159	240	268	268	6075	6399	4153	6852	5727	6238
HP_RS02795	1405	1736	1162	2996	4084	4490	4330	3543	2981	3922	3973	3991
HP_RS02800	14696	19880	14019	32403	14731	17340	30118	33408	22275	34474	29588	35292
HP_RS02805	37527	60084	34369	48845	29113	33861	59848	69881	44913	72304	60291	75843
HP_RS02810	2595	3526	2609	1194	2034	2284	7721	8469	5244	8318	7064	8826
HP_RS02815	1804	2438	1773	1718	2024	2225	6045	5664	4132	5695	5221	5792
HP_RS02820	3059	3414	2481	1211	2813	2959	12131	11393	7161	11578	9841	10060
HP_RS02825	1240	1691	1136	1967	1673	1911	4826	4244	3424	4363	4331	4363
HP_RS02830	2229	2798	1902	3257	2767	2973	8467	7756	5846	7748	7726	8415
HP_RS02835	4120	4980	3948	4665	4153	4407	14001	13604	9640	13697	12759	14027
HP_RS02840	2579	2791	2372	3546	3496	3753	9713	8912	6124	8459	7990	8543
HP_RS02845	560	655	521	758	1533	1402	2744	2013	1852	2006	2384	2017
HP_RS02850	41	79	63	77	316	329	577	480	362	529	422	522
HP_RS02855	297	481	295	490	849	885	2387	1729	1388	1845	1805	1788
HP_RS02860	1063	1498	886	1627	1845	1929	4748	3438	2973	3763	4171	4011
HP_RS02865	848	970	800	798	1925	2003	4476	3112	2651	3526	3626	3473
HP_RS02870	1214	1629	978	3337	3408	3960	6264	4896	4200	5277	4882	5720
HP_RS02875	2097	2815	1827	3948	3678	3985	7974	7023	5625	6716	6639	7168
HP_RS02880	642	691	508	562	689	707	2681	3078	1757	3068	2297	2983
HP_RS02885	471	503	368	245	454	513	2153	2496	1386	2600	1716	2615
HP_RS02890	1500	1944	1115	1257	2538	2927	8997	11752	4885	11852	5799	11180
HP_RS02895	395	508	339	448	824	962	2611	2756	1351	2879	1561	2709
HP_RS02900	2262	1399	2509	3167	2322	2073	2481	2040	1650	2151	2287	2108
HP_RS02905	7668	9446	7936	9654	5843	6037	6216	4855	4215	5027	6067	5280
HP_RS02910	4835	7965	5081	6486	3485	3699	3591	2619	2343	2575	3254	2695
HP_RS02915	2793	4821	2896	1798	1949	2042	1843	1317	1176	1303	1683	1221
HP_RS02920	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS02925	0	0	0	0	0	0	1	0	0	0	0	0
HP_RS07875	112	137	115	375	490	466	1056	882	588	937	772	848
HP_RS02930	821	1244	940	1534	1580	1823	5237	4500	3270	4245	4439	4180
HP_RS02935	17875	22727	17622	9051	10315	13283	49782	27002	20656	35529	29615	32922
HP_RS02940	8933	12197	8969	9612	8011	8779	28909	25403	18048	24871	25457	24019
HP_RS02945	4294	5601	3860	7515	6792	6892	20781	16957	12803	16396	17091	16427
HP_RS02950	3750	5899	3254	4493	3777	4072	12265	10626	8287	10726	10816	11072
HP_RS02955	16499	20710	15641	13814	10956	11969	42155	41989	29868	41564	38709	40642
HP_RS02960	51	71	48	236	417	419	309	178	140	139	203	190
HP_RS02965	196504	208435	191765	188790	127927	141167	343347	417406	257206	432871	339267	418837
HP_RS02970	692	1397	690	3273	2512	3174	1763	1999	1341	2098	1671	2023
HP_RS02975	116	225	97	406	596	740	363	289	229	314	236	302
HP_RS02980	6928	8547	7062	5979	5562	6348	10812	12634	6905	12159	9015	12583
HP_RS02985	9329	13946	8581	6683	6066	7709	12168	13175	8457	13564	10896	14106
HP_RS02990	1946	3108	2027	1604	1405	1744	3373	3552	2209	3485	2835	3584
HP_RS02995	6492	11944	6612	7561	5312	6972	12385	11499	7534	11695	10274	10935
HP_RS03000	828	1032	854	636	683	801	2265	2155	1318	2082	1894	1646
HP_RS03005	5318	9703	4998	14216	15254	20480	10898	9535	6754	9324	8736	9205
HP_RS03010	29	70	39	233	633	702	194	150	86	127	104	121
HP_RS03015	139	172	120	259	589	578	253	244	158	227	195	156
HP_RS03020	841	1166	861	1308	1238	1332	2160	2281	1523	2150	1794	1991
HP_RS03025	5069	7003	4678	4179	3510	3805	5334	5420	3844	5082	4833	5397
HP_RS03030	1904	2403	1874	2162	1740	1970	2955	2906	1871	2713	2434	2738
HP_RS03035	3480	5014	3625	3044	3073	3455	4831	3778	2927	3727	4022	3526
HP_RS03040	1091	1807	1173	1048	859	961	927	740	571	716	754	732
HP_RS03045	2823	4501	2607	2623	4610	4694	4055	3416	2754	3342	3413	3618
HP_RS03050	2454	3374	2049	3765	5044	5293	4776	3860	2906	4030	3713	4047
HP_RS03055	4020	4502	3892	5420	5618	5609	7172	5854	4699	5660	6112	5367
HP_RS03060	1380	1978	1160	2915	3618	3734	3026	2284	1737	2368	2182	2250
HP_RS03065	291	344	208	625	765	775	713	720	345	627	484	610
HP_RS03070	738	871	610	1889	1807	1854	1626	1539	900	1455	1115	1384
HP_RS03075	981	1348	804	2279	2546	2661	1890	1738	1107	1695	1479	1706
HP_RS03080	4120	4817	3877	3538	3031	3485	6143	6242	4065	5732	5202	6159
HP_RS03085	3597	8052	3212	2104	1607	2229	3971	4212	2611	3777	3471	3936
HP_RS03090	1089	2539	983	596	402	526	1063	1050	741	801	1016	952
HP_RS03095	619	1130	618	322	361	381	1074	896	647	738	785	717
HP_RS03100	2272	3029	2089	1303	1488	1686	2936	2345	1641	2382	2412	1933
HP_RS03105	3708	4810	4589	3216	1800	1913	8373	5706	5880	5191	7923	5082
HP_RS03110	8689	13755	8981	1425	892	1074	7050	4539	4796	4416	6293	4619
HP_RS03115	14615	25744	14647	2088	1397	1775	11805	7508	7882	7253	11008	7887
HP_RS03120	5766	10639	5954	739	638	802	5595	3439	3685	3250	5021	3612
HP_RS03125	3391	5948	3523	1415	708	735	4185	2375	2646	2354	3642	2451
HP_RS03130	3760	7387	3206	2031	1701	1803	6123	3735	3756	3611	5051	3809
HP_RS03135	2465	3151	2320	1360	1910	1808	3472	3186	2328	3157	2793	3045
HP_RS03140	3483	4127	3355	1852	2370	2464	3652	5050	2425	4950	3138	4793
HP_RS03145	3592	4630	3536	4699	4585	4928	7577	8238	4463	7649	5749	7355
HP_RS03150	1186	1510	1005	2416	1994	2028	2198	1998	1390	1949	1804	1935
HP_RS03155	319	309	220	270	469	482	839	585	350	628	576	367
HP_RS03160	4725	4839	5032	5168	4189	4296	8511	5960	6632	5562	8130	6209
HP_RS03165	10820	12932	10395	11458	9200	9969	18636	13013	13974	12360	17621	13061
HP_RS03170	3834	5263	3408	6576	6423	7202	5702	6237	3832	6152	4649	6188
HP_RS03175	1183	1611	968	1692	1857	1968	2020	2165	1253	2231	1647	2276
HP_RS03180	2044	2879	1640	3620	4344	4632	3995	3813	2528	3907	3168	4015
HP_RS03185	4222	5336	3809	4339	4088	4597	5227	5376	3604	5222	4607	5546
HP_RS03190	1878	2924	1598	2344	2284	2542	2475	2549	1862	2469	2370	2793
HP_RS03195	1784	2352	1726	3839	3007	3114	3225	3049	2060	2951	2812	2904
HP_RS03200	6158	8155	5855	19051	11274	12169	10306	12643	7358	12318	9610	12680
HP_RS03205	1439	1953	1105	2352	3390	3866	2729	2611	2084	2761	2431	2904
HP_RS03210	2690	4061	2314	3254	4205	4413	6350	5304	3826	4921	4683	5058
HP_RS03215	39377	50421	42386	1732	1610	1726	8333	3704	5900	3231	7184	3554
HP_RS03220	141236	169388	156699	3483	2999	3071	24419	8972	16966	7944	22338	8896
HP_RS03225	2505	3447	2276	1705	1597	1972	2726	2951	1795	2809	2225	2614
HP_RS03230	4396	7217	4004	10574	7929	9869	7785	6488	4737	6126	6391	6157
HP_RS03235	4335	5169	4187	11555	8163	8384	5751	5204	3846	4685	5043	4963
HP_RS03240	8067	11509	7624	18391	13158	14307	9292	8633	6494	8578	8548	8988
HP_RS03245	7647	10287	6921	17688	13377	13923	10616	10181	7397	10048	9854	10494
HP_RS03250	3686	4362	3317	7871	9720	9503	7558	7196	4661	7222	6568	7115
HP_RS03255	534	844	475	3301	3000	3065	1584	1223	911	1257	1144	1247
HP_RS03260	112	135	63	932	740	687	429	341	249	337	319	314
HP_RS03265	119	193	130	482	504	538	489	332	254	302	297	347
HP_RS03270	88	236	82	217	315	417	298	265	146	246	203	230
HP_RS03275	1825	2914	1516	1458	2116	2396	1902	2155	1271	2041	1586	2184
HP_RS03280	3559	4981	3131	6043	5585	5903	4760	4472	3237	4478	3919	4812
HP_RS03285	1257	1730	1182	3281	2831	2914	2386	2222	1536	2135	1907	2305
HP_RS03290	2462	3645	2240	1850	2148	2356	3588	3354	2300	3246	3125	3275
HP_RS03295	37	57	29	56	53	79	92	75	57	84	75	75
HP_RS03300	9200	10747	8940	14956	12328	13198	22577	21840	14204	21717	18588	20192
HP_RS03305	1396	1507	1493	5107	4866	5383	3506	5027	2277	5282	3108	4342
HP_RS03310	17	14	13	50	63	93	21	37	9	32	21	41
HP_RS03315	257	235	257	378	409	376	218	146	105	120	181	76
HP_RS03320	135	187	90	572	535	537	271	196	179	228	174	166
